STATE_NAME,COUNTY,POPULATION,HOUSEHOLDS,FAMILIES,SNAP,GEOID,latitude,longitude
 Alabama,Washington County,15574,5261,3882,682,47179,,
 Alabama,Wilcox County,10686,3626,2230,1133,,,
 Alabama,Winston County,23650,9219,6511,1268,,,
 Alaska,Aleutians East Borough,3409,914,568,108,,,
 Alaska,Aleutians West Census Area,5251,1004,553,62,,,
 Alaska,Anchorage Municipality,292545,106695,69003,9236,,,
 Alaska,Bethel Census Area,18514,4520,3373,1796,,,
 Alaska,Bristol Bay Borough,849,315,187,14,,,
 Alaska,Chugach Census Area,7015,2592,1717,190,,,
 Alaska,Copper River Census Area,2635,946,627,129,,,
 Alaska,Denali Borough,2187,531,274,17,,,
 Alaska,Dillingham Census Area,4899,1372,1059,399,,,
 Alaska,Fairbanks North Star Borough,97149,35298,23400,2005,,,
 Alaska,Haines Borough,2098,773,463,19,,,
 Alaska,Hoonah-Angoon Census Area,2327,811,469,130,,,
 Alaska,Juneau City and Borough,32240,12922,7414,1061,,,
 Alaska,Kenai Peninsula Borough,58711,22768,13789,2164,,,
 Alaska,Ketchikan Gateway Borough,13939,5487,3619,648,,,
 Alaska,Kodiak Island Borough,13218,4416,3087,433,,,
 Alaska,Kusilvak Census Area,8354,1815,1499,972,,,
 Alaska,Lake and Peninsula Borough,986,319,232,96,,,
 Alaska,Matanuska-Susitna Borough,106807,38056,27166,4054,,,
 Alaska,Nome Census Area,10070,2714,2007,890,,,
 Alaska,North Slope Borough,10865,2103,1561,411,,,
 Alaska,Northwest Arctic Borough,7776,1756,1285,591,,,
 Alaska,Petersburg Borough,3368,1211,761,97,,,
 Alaska,Prince of Wales-Hyder Census Area,5886,2310,1445,356,,,
 Alaska,Sitka City and Borough,8518,3439,2172,260,,,
 Alaska,Skagway Municipality,1329,390,184,10,,,
 Alaska,Southeast Fairbanks Census Area,6849,2127,1376,149,,,
 Alaska,Wrangell City and Borough,2162,842,472,108,,,
 Alaska,Yakutat City and Borough,562,216,154,10,,,
 Alaska,Yukon-Koyukuk Census Area,5433,1899,1065,602,,,
 Arizona,Apache County,66473,19443,12866,5585,,,
 Arizona,Cochise County,125092,49239,30527,7209,,,
 Arizona,Coconino County,144942,51037,30361,5194,,,
 Arizona,Gila County,53211,22306,13770,3445,,,
 Arizona,Graham County,38145,11577,8205,1392,,,
 Arizona,Greenlee County,9542,3265,2262,269,,,
 Arizona,La Paz County,16845,8678,5248,1289,,,
 Arizona,Maricopa County,4367186,1632151,1071501,138155,,,
 Arizona,Mohave County,211274,93179,58758,12001,,,
 Arizona,Navajo County,106609,36567,25433,7243,,,
 Arizona,Pima County,1035063,417483,255436,51582,,,
 Arizona,Pinal County,420625,145554,104849,15580,,,
 Arizona,Santa Cruz County,47463,16428,12073,3807,,,
 Arizona,Yavapai County,233789,103934,63431,8183,,,
 Arizona,Yuma County,202944,72716,53049,13360,,,
 Arkansas,Arkansas County,17273,6595,4196,976,,,
 Arkansas,Ashley County,19362,7239,4645,1066,,,
 Arkansas,Baxter County,41476,18835,11736,1559,,,
 Arkansas,Benton County,278774,101109,74468,4515,47005,,
 Arkansas,Boone County,37445,15190,10132,1483,,,
 Arkansas,Bradley County,10597,3706,2183,835,47011,,
 Arkansas,Calhoun County,4811,1481,1101,162,,,
 Arkansas,Carroll County,28154,11168,7681,653,47017,,
 Arkansas,Chicot County,10405,4014,2353,894,,,
 Arkansas,Clark County,21569,8056,4869,1019,,,
 Arkansas,Clay County,14661,6152,3803,979,47027,36.5511,-85.5439
 Arkansas,Cleburne County,24848,10664,6961,1012,,,
 Arkansas,Cleveland County,7632,2745,1857,329,,,
 Arkansas,Columbia County,22947,7768,5003,1222,,,
 Arkansas,Conway County,20687,8460,5620,1301,,,
 Arkansas,Craighead County,109875,41865,27496,4932,,,
 Arkansas,Crawford County,60483,22748,16378,2441,,,
 Arkansas,Crittenden County,48338,18561,11752,3334,,,
 Arkansas,Cross County,16935,6390,4341,798,,,
 Arkansas,Dallas County,6645,2326,1352,353,,,
 Arkansas,Desha County,11530,4721,3142,1035,,,
 Arkansas,Drew County,17511,6970,4192,861,,,
 Arkansas,Faulkner County,123191,46445,30354,4152,,,
 Arkansas,Franklin County,17159,6718,4412,1054,47051,,
 Arkansas,Fulton County,12072,4636,2798,559,,,
 Arkansas,Garland County,99694,41919,27004,5049,,,
 Arkansas,Grant County,17912,6850,4783,840,,,
 Arkansas,Greene County,45665,17583,12326,2740,47059,,
 Arkansas,Hempstead County,20352,7566,4994,883,,,
 Arkansas,Hot Spring County,33096,12070,8102,1814,,,
 Arkansas,Howard County,12894,5253,3452,622,,,
 Arkansas,Independence County,37796,14349,9657,1513,,,
 Arkansas,Izard County,13653,4623,2902,602,,,
 Arkansas,Jackson County,16878,5978,3717,1192,47087,36.3592,-85.6732
 Arkansas,Jefferson County,68199,24416,14999,3958,47089,,
 Arkansas,Johnson County,25853,9849,6434,1251,47091,,
 Arkansas,Lafayette County,6373,2500,1634,369,,,
 Arkansas,Lawrence County,16292,6260,4277,1065,47099,,
 Arkansas,Lee County,8832,2767,1635,726,,,
 Arkansas,Lincoln County,13092,3391,2448,369,47103,,
 Arkansas,Little River County,12104,4753,3198,390,,,
 Arkansas,Logan County,21299,8271,5584,1072,,,
 Arkansas,Lonoke County,73824,27277,19509,2646,,,
 Arkansas,Madison County,16496,6056,4354,695,47113,,
 Arkansas,Marion County,16750,6950,4433,629,47115,,
 Arkansas,Miller County,42875,16240,10646,2155,,,
 Arkansas,Mississippi County,41061,15565,10490,3004,,,
 Arkansas,Monroe County,6903,2816,1508,523,47123,,
 Arkansas,Montgomery County,8525,3669,2631,489,47125,,
 Arkansas,Nevada County,8340,3070,2023,659,,,
 Arkansas,Newton County,7343,2769,1839,319,,,
 Arkansas,Ouachita County,22858,8686,5500,1407,,,
 Arkansas,Perry County,10056,3732,2770,378,47135,,
 Arkansas,Phillips County,16923,6315,3856,1748,,,
 Arkansas,Pike County,10234,4042,2781,577,,,
 Arkansas,Poinsett County,23212,8992,5822,1829,,,
 Arkansas,Polk County,19476,7736,5203,1019,47139,,
 Arkansas,Pope County,63234,23304,15601,2765,,,
 Arkansas,Prairie County,8306,3385,2178,377,,,
 Arkansas,Pulaski County,397931,164697,97182,17991,,,
 Arkansas,Randolph County,18442,7234,4637,862,,,
 Arkansas,St. Francis County,23623,8146,5031,1925,,,
 Arkansas,Saline County,122308,47468,34016,3040,,,
 Arkansas,Scott County,9928,3938,2613,615,47151,,
 Arkansas,Searcy County,7872,2964,2062,342,,,
 Arkansas,Sebastian County,127941,51587,33409,6509,,,
 Arkansas,Sevier County,16074,5498,3863,997,47155,,
 Arkansas,Sharp County,17243,6841,4418,1211,,,
 Arkansas,Stone County,12364,4678,2909,979,,,
 Arkansas,Union County,39262,14791,9183,1588,47173,,
 Arkansas,Van Buren County,15851,6951,4570,690,47175,35.696,-85.4526
 Arkansas,Washington County,242793,91329,57653,6095,47179,,
 Arkansas,White County,77075,28599,19444,3595,47185,35.9264,-85.4552
 Arkansas,Woodruff County,6333,2634,1630,544,,,
 Arkansas,Yell County,20489,7541,5342,998,,,
 California,Alameda County,1673133,581683,385606,40241,,,
 California,Alpine County,1344,434,286,35,,,
 California,Amador County,40095,15394,9947,1032,,,
 California,Butte County,217884,85292,51149,10463,,,
 California,Calaveras County,45349,16809,12307,1326,,,
 California,Colusa County,21780,7303,4960,1165,,,
 California,Contra Costa County,1161643,405106,291088,27449,,,
 California,Del Norte County,27655,9531,6225,1961,,,
 California,El Dorado County,190568,74535,51900,4333,,,
 California,Fresno County,1003150,314421,226632,58966,,,
 California,Glenn County,28675,9753,7031,1327,,,
 California,Humboldt County,137014,53729,29166,7538,,,
 California,Imperial County,180051,45541,33806,11085,,,
 California,Inyo County,18804,7832,4394,598,,,
 California,Kern County,905644,274705,203732,46758,,,
 California,Kings County,151887,43286,33975,7041,,,
 California,Lake County,67749,26307,16033,3924,47095,,
 California,Lassen County,32949,8910,6178,772,,,
 California,Los Angeles County,10019635,3342811,2216821,340541,,,
 California,Madera County,156304,43578,34345,8040,,,
 California,Marin County,262387,103751,65764,3743,,,
 California,Mariposa County,17225,7588,4457,866,,,
 California,Mendocino County,91534,34183,20772,3912,,,
 California,Merced County,279150,81618,61928,15599,,,
 California,Modoc County,8723,3413,2216,425,,,
 California,Mono County,13291,5361,3236,289,,,
 California,Monterey County,438953,129977,94839,10341,,,
 California,Napa County,138795,48745,33449,2082,,,
 California,Nevada County,102090,40877,25966,2222,,,
 California,Orange County,3182923,1057592,752397,66784,,,
 California,Placer County,400330,149714,106631,6583,,,
 California,Plumas County,19631,8231,5197,867,,,
 California,Riverside County,2409331,740506,547202,71762,,,
 California,Sacramento County,1571767,559036,370480,65992,,,
 California,San Benito County,63329,19144,15216,1676,,,
 California,San Bernardino County,2171071,651743,497496,92132,,,
 California,San Diego County,3296317,1139899,762694,86524,,,
 California,San Francisco County,865933,361222,170465,24779,,,
 California,San Joaquin County,771406,234662,176001,34405,,,
 California,San Luis Obispo County,282771,106790,67765,5178,,,
 California,San Mateo County,762488,264892,184935,9045,,,
 California,Santa Barbara County,447651,147446,96595,12860,,,
 California,Santa Clara County,1932022,646847,460297,28546,,,
 California,Santa Cruz County,272138,96476,61187,8209,,,
 California,Shasta County,181935,71314,46675,8631,,,
 California,Sierra County,3079,1151,728,123,,,
 California,Siskiyou County,44151,18598,10986,2284,,,
 California,Solano County,451432,153632,109007,12345,,,
 California,Sonoma County,492498,188841,120317,11220,,,
 California,Stanislaus County,550842,175067,130428,23402,,,
 California,Sutter County,99080,32703,23430,3829,,,
 California,Tehama County,65345,24551,16593,2821,,,
 California,Trinity County,15818,5492,2829,471,,,
 California,Tulare County,470999,139631,108873,30648,,,
 California,Tuolumne County,55243,23103,13932,2143,,,
 California,Ventura County,845255,274471,197316,19779,,,
 California,Yolo County,216703,75471,48083,8224,,,
 California,Yuba County,80404,26888,18783,4153,,,
 Colorado,Adams County,514969,176880,123255,15148,,,
 Colorado,Alamosa County,16377,6327,3833,1602,,,
 Colorado,Arapahoe County,651621,247251,161271,16269,,,
 Colorado,Archuleta County,13267,5770,4065,472,,,
 Colorado,Baca County,3519,1594,935,249,,,
 Colorado,Bent County,5861,1805,1051,462,,,
 Colorado,Boulder County,328713,131701,75256,6946,,,
 Colorado,Broomfield County,72697,29487,19027,805,,,
 Colorado,Chaffee County,19436,8539,5270,868,,,
 Colorado,Cheyenne County,1691,695,455,40,,,
 Colorado,Clear Creek County,9427,4427,2459,231,,,
 Colorado,Conejos County,7579,3097,1758,527,,,
 Colorado,Costilla County,3517,1446,945,461,,,
 Colorado,Crowley County,6018,1340,795,282,,,
 Colorado,Custer County,4720,2124,1333,104,,,
 Colorado,Delta County,31133,12143,7559,1480,,,
 Colorado,Denver County,706799,313926,148599,24832,,,
 Colorado,Dolores County,2288,1144,763,122,,,
 Colorado,Douglas County,351929,127921,97704,2205,,,
 Colorado,Eagle County,55693,19511,12563,697,,,
 Colorado,Elbert County,25897,9261,7504,330,,,
 Colorado,El Paso County,722736,270178,183630,23063,,,
 Colorado,Fremont County,49007,17510,11132,2633,,,
 Colorado,Garfield County,61221,21707,15600,1630,,,
 Colorado,Gilpin County,5812,2791,1545,173,,,
 Colorado,Grand County,15629,5841,3491,477,,,
 Colorado,Gunnison County,16851,7100,3688,518,,,
 Colorado,Hinsdale County,858,442,280,46,,,
 Colorado,Huerfano County,6787,2744,1706,343,,,
 Colorado,Jackson County,1375,632,386,76,47087,36.3592,-85.6732
 Colorado,Jefferson County,580130,236499,151228,10393,47089,,
 Colorado,Kiowa County,1414,584,331,83,,,
 Colorado,Kit Carson County,7071,2964,1905,296,,,
 Colorado,Lake County,7417,2795,1485,141,47095,,
 Colorado,La Plata County,55673,22266,13896,1112,,,
 Colorado,Larimer County,354670,145175,88620,7924,,,
 Colorado,Las Animas County,14531,6410,3668,1156,,,
 Colorado,Lincoln County,5630,1812,1044,169,47103,,
 Colorado,Logan County,21765,7928,4754,805,,,
 Colorado,Mesa County,154685,61977,39168,5947,,,
 Colorado,Mineral County,794,386,244,37,,,
 Colorado,Moffat County,13240,5121,3512,536,,,
 Colorado,Montezuma County,25916,10461,7053,1222,,,
 Colorado,Montrose County,42328,16840,11703,1723,,,
 Colorado,Morgan County,28868,10601,7282,1172,47129,,
 Colorado,Otero County,18665,7618,4554,1545,,,
 Colorado,Ouray County,4850,2204,1342,169,,,
 Colorado,Park County,17384,7169,5097,162,,,
 Colorado,Phillips County,4497,1715,1134,193,,,
 Colorado,Pitkin County,17471,7202,3675,82,,,
 Colorado,Prowers County,11966,4421,2836,555,,,
 Colorado,Pueblo County,167453,66442,41272,12987,,,
 Colorado,Rio Blanco County,6495,2488,1590,249,,,
 Colorado,Rio Grande County,11476,4616,2932,641,,,
 Colorado,Routt County,24899,10094,6453,487,,,
 Colorado,Saguache County,6369,2877,1833,451,,,
 Colorado,San Juan County,698,326,176,35,,,
 Colorado,San Miguel County,8084,3594,1996,78,,,
 Colorado,Sedgwick County,2459,1020,579,161,,,
 Colorado,Summit County,31042,11329,6564,314,,,
 Colorado,Teller County,24607,10557,6752,1046,,,
 Colorado,Washington County,4834,2001,1380,192,47179,,
 Colorado,Weld County,322424,111222,81833,8433,,,
 Colorado,Yuma County,9944,3884,2728,522,,,
 Connecticut,Fairfield County,956446,349443,241685,29580,,,
 Connecticut,Hartford County,898636,356529,227698,50209,,,
 Connecticut,Litchfield County,185175,74857,48968,5637,,,
 Connecticut,Middlesex County,164568,68200,42603,5300,,,
 Connecticut,New Haven County,864751,336400,211377,47955,,,
 Connecticut,New London County,269131,109481,71073,11290,,,
 Connecticut,Tolland County,150120,56989,37081,3773,,,
 Connecticut,Windham County,116503,45425,29521,6672,,,
 Delaware,Kent County,180078,66720,45514,9525,,,
 Delaware,New Castle County,567769,218002,136967,19797,,,
 Delaware,Sussex County,234045,96375,65553,10630,,,
 District of Columbia,District of Columbia,683154,310104,131196,38881,,,
 Florida,Alachua County,276171,105003,52919,9778,,,
 Florida,Baker County,28003,8532,6295,1401,,,
 Florida,Bay County,181384,72881,47992,9490,,,
 Florida,Bradford County,27928,8967,5822,1377,,,
 Florida,Brevard County,601573,242657,152886,24677,,,
 Florida,Broward County,1934551,732464,463912,98405,,,
 Florida,Calhoun County,13863,4495,2717,915,,,
 Florida,Charlotte County,184837,82755,53764,6879,,,
 Florida,Citrus County,151888,65843,41586,7857,,,
 Florida,Clay County,216308,77434,59090,7184,47027,36.5511,-85.5439
 Florida,Collier County,372797,153711,103454,11130,,,
 Florida,Columbia County,69265,25728,16126,4804,,,
 Florida,DeSoto County,34027,12207,8204,2485,,,
 Florida,Dixie County,16701,6071,4457,1296,,,
 Florida,Duval County,983153,387008,234075,58918,,,
 Florida,Escambia County,318828,124494,76664,18262,,,
 Florida,Flagler County,113888,45491,32801,3677,,,
 Florida,Franklin County,12232,4559,2865,849,47051,,
 Florida,Gadsden County,44233,15769,10176,3744,,,
 Florida,Gilchrist County,17759,6659,4573,1145,,,
 Florida,Glades County,12183,4572,3151,588,,,
 Florida,Gulf County,15205,5519,3650,770,,,
 Florida,Hamilton County,13973,4208,2963,1237,47065,,
 Florida,Hardee County,25632,8032,5824,2065,,,
 Florida,Hendry County,39439,12821,9496,2800,,,
 Florida,Hernando County,192128,78041,52715,11370,,,
 Florida,Highlands County,101174,43977,28379,6470,,,
 Florida,Hillsborough County,1444359,547578,344244,71822,,,
 Florida,Holmes County,19622,6995,4770,1192,,,
 Florida,Indian River County,158002,63377,39545,5015,,,
 Florida,Jackson County,48067,16859,10875,3190,47087,36.3592,-85.6732
 Florida,Jefferson County,14405,5394,3767,752,47089,,
 Florida,Lafayette County,8343,2486,1703,372,,,
 Florida,Lake County,375059,149455,103128,15819,47095,,
 Florida,Lee County,752251,298343,194631,26261,,,
 Florida,Leon County,290965,117677,62356,13595,,,
 Florida,Levy County,42392,17248,11224,3057,,,
 Florida,Liberty County,7987,2279,1525,708,,,
 Florida,Madison County,18051,6441,3706,1097,47113,,
 Florida,Manatee County,394824,156254,102675,14154,,,
 Florida,Marion County,370372,150880,98311,21635,47115,,
 Florida,Martin County,158323,66108,40875,4243,,,
 Florida,Miami-Dade County,2690113,936351,643696,225130,,,
 Florida,Monroe County,82244,33643,19859,2266,47123,,
 Florida,Nassau County,88492,34691,25176,3334,,,
 Florida,Okaloosa County,209230,81785,53124,6677,,,
 Florida,Okeechobee County,39716,14794,9976,2915,,,
 Florida,Orange County,1409949,475292,316908,70520,,,
 Florida,Osceola County,380331,110156,81414,21643,,,
 Florida,Palm Beach County,1481233,581119,363490,59534,,,
 Florida,Pasco County,551598,217318,143207,26711,,,
 Florida,Pinellas County,957989,415730,234194,37853,,,
 Florida,Polk County,713148,253178,174925,37001,47139,,
 Florida,Putnam County,73147,29174,17623,6280,47141,36.1408,-85.4952
 Florida,St. Johns County,265724,95640,71076,4793,,,
 Florida,St. Lucie County,324599,122186,84055,16545,,,
 Florida,Santa Rosa County,184345,67534,49462,6690,,,
 Florida,Sarasota County,429336,193923,120250,11079,,,
 Florida,Seminole County,467382,180891,121119,15247,,,
 Florida,Sumter County,127335,61441,40178,3216,,,
 Florida,Suwannee County,43514,15098,10614,2487,,,
 Florida,Taylor County,21762,7270,5074,1272,,,
 Florida,Union County,16141,4064,2942,767,47173,,
 Florida,Volusia County,548783,228569,141154,29643,,,
 Florida,Wakulla County,33144,11266,8179,1114,,,
 Florida,Walton County,73456,30182,20911,2783,,,
 Florida,Washington County,24906,8853,5994,1268,47179,,
 Georgia,Appling County,18509,6637,4749,1362,,,
 Georgia,Atkinson County,8269,2968,2106,559,,,
 Georgia,Bacon County,11163,3874,2505,583,,,
 Georgia,Baker County,2928,1201,718,154,,,
 Georgia,Baldwin County,43876,15948,9722,2217,,,
 Georgia,Banks County,18061,6483,4873,605,,,
 Georgia,Barrow County,82138,28087,21185,3251,,,
 Georgia,Bartow County,107868,38029,27562,3575,,,
 Georgia,Ben Hill County,17237,6828,4371,1233,,,
 Georgia,Berrien County,18195,6634,4608,1257,,,
 Georgia,Bibb County,156711,58752,35310,12269,,,
 Georgia,Bleckley County,12562,4232,3128,845,,,
 Georgia,Brantley County,18072,6625,3933,1256,,,
 Georgia,Brooks County,16254,6004,3753,941,,,
 Georgia,Bryan County,43278,14796,11544,1224,,,
 Georgia,Bulloch County,79635,28917,17141,4268,,,
 Georgia,Burke County,24231,8742,5767,1276,,,
 Georgia,Butts County,24950,8440,6423,1312,,,
 Georgia,Calhoun County,5668,1457,1034,494,,,
 Georgia,Camden County,54256,20032,14175,2265,,,
 Georgia,Candler County,10885,4034,2693,855,,,
 Georgia,Carroll County,118402,42635,30560,6219,47017,,
 Georgia,Catoosa County,67579,25450,18128,2576,,,
 Georgia,Charlton County,12416,3960,2634,915,,,
 Georgia,Chatham County,294815,115403,69896,13438,,,
 Georgia,Chattahoochee County,9533,2404,1881,357,,,
 Georgia,Chattooga County,24898,9189,5666,1777,,,
 Georgia,Cherokee County,262155,94208,71437,3474,,,
 Georgia,Clarke County,128195,52352,24808,4964,,,
 Georgia,Clay County,2883,1286,653,368,47027,36.5511,-85.5439
 Georgia,Clayton County,294335,103399,69882,19561,,,
 Georgia,Clinch County,6737,2361,1750,407,,,
 Georgia,Cobb County,762500,287426,192336,16845,,,
 Georgia,Coffee County,43048,14934,10129,2455,47031,,
 Georgia,Colquitt County,45800,16219,10626,2851,,,
 Georgia,Columbia County,154274,47597,35421,2768,,,
 Georgia,Cook County,17188,6056,4199,927,,,
 Georgia,Coweta County,144928,53405,40018,4492,,,
 Georgia,Crawford County,12159,4283,3096,647,,,
 Georgia,Crisp County,20524,7651,5260,2074,,,
 Georgia,Dade County,16313,6142,4261,541,,,
 Georgia,Dawson County,26202,9776,7183,869,,,
 Georgia,Decatur County,29020,10242,7132,2117,47039,,
 Georgia,DeKalb County,758634,286068,165519,36244,47041,,
 Georgia,Dodge County,20089,6569,4487,1228,,,
 Georgia,Dooly County,11546,3888,2605,918,,,
 Georgia,Dougherty County,86825,34338,19786,8875,,,
 Georgia,Douglas County,143520,50188,36130,5699,,,
 Georgia,Early County,10813,4034,2651,948,,,
 Georgia,Echols County,3691,1327,996,118,,,
 Georgia,Effingham County,63448,22313,16454,1672,,,
 Georgia,Elbert County,19453,7773,5053,1366,,,
 Georgia,Emanuel County,22739,8245,5518,2004,,,
 Georgia,Evans County,10761,3886,2636,965,,,
 Georgia,Fannin County,25198,11188,7622,1294,,,
 Georgia,Fayette County,117828,42351,33034,1787,47047,,
 Georgia,Floyd County,98210,35859,24971,4923,,,
 Georgia,Forsyth County,245754,82293,67028,2574,,,
 Georgia,Franklin County,23256,8346,6084,1271,47051,,
 Georgia,Fulton County,1054286,441958,236357,51263,,,
 Georgia,Gilmer County,31047,12648,8662,1070,,,
 Georgia,Glascock County,2903,1045,712,142,,,
 Georgia,Glynn County,84373,33401,21846,4147,,,
 Georgia,Gordon County,57274,20183,14484,2036,,,
 Georgia,Grady County,26076,9760,6666,2169,,,
 Georgia,Greene County,18461,7324,5056,684,47059,,
 Georgia,Gwinnett County,948505,313172,234591,20378,,,
 Georgia,Habersham County,45767,15123,10523,1789,,,
 Georgia,Hall County,201703,67241,49943,5959,,,
 Georgia,Hancock County,8652,2869,1707,694,47067,,
 Georgia,Haralson County,29685,11240,8040,1539,,,
 Georgia,Harris County,34316,12194,9672,1169,,,
 Georgia,Hart County,25808,10111,6626,1439,,,
 Georgia,Heard County,11440,4285,3104,1130,,,
 Georgia,Henry County,236615,80672,59928,7172,47079,,
 Georgia,Houston County,161177,59627,41902,6375,47083,,
 Georgia,Irwin County,9615,3604,2279,433,,,
 Georgia,Jackson County,73839,24874,19733,2323,47087,36.3592,-85.6732
 Georgia,Jasper County,14478,5300,4092,725,,,
 Georgia,Jeff Davis County,14753,5246,3606,874,,,
 Georgia,Jefferson County,15708,5625,3857,1211,47089,,
 Georgia,Jenkins County,8693,3290,1977,702,,,
 Georgia,Johnson County,9272,3201,1957,739,47091,,
 Georgia,Jones County,28297,10444,7408,1471,,,
 Georgia,Lamar County,18482,6811,3947,839,,,
 Georgia,Lanier County,9874,3529,2403,602,,,
 Georgia,Laurens County,49202,17366,11751,3621,,,
 Georgia,Lee County,32547,11616,9307,925,,,
 Georgia,Liberty County,64334,22554,15746,3717,,,
 Georgia,Lincoln County,7686,2953,2028,362,47103,,
 Georgia,Long County,16398,5341,3577,1038,,,
 Georgia,Lowndes County,117437,42512,26200,7244,,,
 Georgia,Lumpkin County,33188,11102,7633,987,,,
 Georgia,McDuffie County,21727,8216,5564,1339,,,
 Georgia,McIntosh County,11291,4706,3256,986,,,
 Georgia,Macon County,12330,3907,2365,1002,47111,36.532,-86.0073
 Georgia,Madison County,29906,10510,7873,1572,47113,,
 Georgia,Marion County,7563,2924,2019,583,47115,,
 Georgia,Meriwether County,20659,7895,5471,1633,,,
 Georgia,Miller County,5984,2531,1737,462,,,
 Georgia,Mitchell County,21940,7946,4991,2592,,,
 Georgia,Monroe County,27825,10176,7073,777,47123,,
 Georgia,Montgomery County,8701,2857,2012,462,47125,,
 Georgia,Morgan County,19694,7246,5543,1137,47129,,
 Georgia,Murray County,39853,14431,10740,1788,,,
 Georgia,Muscogee County,204366,78491,47216,13423,,,
 Georgia,Newton County,111262,39342,29249,5649,,,
 Georgia,Oconee County,41006,13965,11491,342,,,
 Georgia,Oglethorpe County,14779,5276,3710,592,,,
 Georgia,Paulding County,165688,54961,43378,4361,,,
 Georgia,Peach County,27822,10209,6838,1839,,,
 Georgia,Pickens County,32814,12646,9176,995,,,
 Georgia,Pierce County,19644,7235,4990,1226,,,
 Georgia,Pike County,18754,6200,4500,417,,,
 Georgia,Polk County,42692,15507,10723,2463,47139,,
 Georgia,Pulaski County,10001,3084,1985,547,,,
 Georgia,Putnam County,21870,9499,6350,1134,47141,36.1408,-85.4952
 Georgia,Quitman County,2249,946,514,265,,,
 Georgia,Rabun County,16731,6585,4247,917,,,
 Georgia,Randolph County,6503,2402,1434,856,,,
